PC=00000000, REG[30]=00000000
PC=000003fc, REG[21]=00000400
PC=00000400, REG[30]=000006ef
PC=00000404, ---
PC=00000408, ---
PC=00000114, REG[21]=00000800
PC=00000118, REG[30]=00000eef
PC=0000011c, ---
PC=00000414, REG[21]=00000800
PC=00000418, REG[30]=00000eef
PC=0000041c, ---
PC=00000420, ---
PC=0000012c, REG[21]=00001000
PC=00000130, REG[30]=00001eef
PC=00000134, ---
PC=0000042c, REG[21]=00001000
PC=00000430, REG[30]=00001eef
PC=00000434, ---
PC=00000438, ---
PC=00000144, REG[21]=00002000
PC=00000148, REG[30]=00003eef
PC=0000014c, ---
PC=00000444, REG[21]=00002000
PC=00000448, REG[30]=00003eef
PC=0000044c, ---
PC=00000450, ---
PC=0000015c, REG[21]=00000000
PC=00000160, REG[30]=00003eef
PC=00000164, ---
PC=0000045c, REG[21]=00000000
PC=00000460, REG[30]=00003eef
PC=00000464, ---
PC=00000468, ---
PC=00000174, REG[21]=00008000
PC=00000178, REG[30]=0000beef
PC=0000017c, ---
PC=00000474, REG[21]=00008000
PC=00000478, REG[30]=0000beef
PC=0000047c, ---
PC=00000480, ---
PC=0000018c, REG[21]=00010000
PC=00000190, REG[30]=0001beef
PC=00000194, ---
PC=0000048c, REG[21]=00010000
PC=00000490, REG[30]=0001beef
PC=00000494, ---
PC=00000498, ---
PC=000001a4, REG[21]=00000000
PC=000001a8, REG[30]=0001beef
PC=000001ac, ---
PC=000004a4, REG[21]=00020000
PC=000004a8, REG[30]=0003beef
PC=000004ac, ---
PC=000004b0, ---
PC=000001bc, REG[21]=00040000
PC=000001c0, REG[30]=0007beef
PC=000001c4, ---
PC=000004bc, REG[21]=00040000
PC=000004c0, REG[30]=0007beef
PC=000004c4, ---
PC=000004c8, ---
PC=000001d4, REG[21]=00080000
PC=000001d8, REG[30]=000fbeef
PC=000001dc, ---
PC=000004d4, REG[21]=00080000
PC=000004d8, REG[30]=000fbeef
PC=000004dc, ---
PC=000004e0, ---
PC=000001ec, REG[21]=00000000
PC=000001f0, REG[30]=000fbeef
PC=000001f4, ---
PC=000004ec, REG[21]=00000000
PC=000004f0, REG[30]=000fbeef
PC=000004f4, ---
PC=000004f8, ---
PC=00000204, REG[21]=00200000
PC=00000208, REG[30]=002fbeef
PC=0000020c, ---
PC=00000504, REG[21]=00200000
PC=00000508, REG[30]=002fbeef
PC=0000050c, ---
PC=00000510, ---
PC=0000021c, REG[21]=00000000
PC=00000220, REG[30]=002fbeef
PC=00000224, ---
PC=0000051c, REG[21]=00400000
PC=00000520, REG[30]=006fbeef
PC=00000524, ---
PC=00000528, ---
PC=00000234, REG[21]=00800000
PC=00000238, REG[30]=00efbeef
PC=0000023c, ---
PC=00000534, REG[21]=00800000
PC=00000538, REG[30]=00efbeef
PC=0000053c, ---
PC=00000540, ---
PC=0000024c, REG[21]=00000000
PC=00000250, REG[30]=00efbeef
PC=00000254, ---
PC=0000054c, REG[21]=00000000
PC=00000550, REG[30]=00efbeef
PC=00000554, ---
PC=00000558, ---
PC=00000264, REG[21]=02000000
PC=00000268, REG[30]=02efbeef
PC=0000026c, ---
PC=00000564, REG[21]=02000000
PC=00000568, REG[30]=02efbeef
PC=0000056c, ---
PC=00000570, ---
PC=0000027c, REG[21]=00000000
PC=00000280, REG[30]=02efbeef
PC=00000284, ---
PC=0000057c, REG[21]=04000000
PC=00000580, REG[30]=06efbeef
PC=00000584, ---
PC=00000588, ---
PC=00000294, REG[21]=08000000
PC=00000298, REG[30]=0eefbeef
PC=0000029c, ---
PC=00000594, REG[21]=08000000
PC=00000598, REG[30]=0eefbeef
PC=0000059c, ---
PC=000005a0, ---
PC=000002ac, REG[21]=10000000
PC=000002b0, REG[30]=1eefbeef
PC=000002b4, ---
PC=000005ac, REG[21]=10000000
PC=000005b0, REG[30]=1eefbeef
PC=000005b4, ---
PC=000005b8, ---
PC=000002c4, REG[21]=20000000
PC=000002c8, REG[30]=3eefbeef
PC=000002cc, ---
PC=000005c4, REG[21]=20000000
PC=000005c8, REG[30]=3eefbeef
PC=000005cc, ---
PC=000005d0, ---
PC=000002dc, REG[21]=00000000
PC=000002e0, REG[30]=3eefbeef
PC=000002e4, ---
PC=000005dc, REG[21]=00000000
PC=000005e0, REG[30]=3eefbeef
PC=000005e4, ---
PC=000005e8, ---
PC=000002f4, REG[21]=80000000
PC=000002f8, REG[30]=beefbeef
PC=000002fc, ---
PC=000005f4, REG[21]=80000000
PC=000005f8, REG[30]=beefbeef
PC=000005fc, ---
PC=00000600, ---
PC=0000060c, REG[21]=00004000
PC=00000610, REG[21]=00003e80
PC=00000614, ---
PC=00000618, ---
