PC=00000000, ---
PC=0000034c, REG[12]=2917ec1a
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=97952d19
PC=00000364, REG[14]=59cffb35
PC=00000368, REG[13]=3f0b32b6
PC=0000036c, REG[14]=f165284e
PC=00000370, REG[14]=30705b04
PC=00000374, REG[15]=30705b04
PC=00000378, REG[10]=60e0b608
PC=0000037c, ---
PC=00000380, REG[10]=30705b04
PC=00000384, ---
PC=000002b8, REG[15]=30705b04
PC=000002bc, REG[14]=00000304
PC=000002c0, REG[15]=00000004
PC=000002c4, REG[15]=00000010
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=00010000
PC=000002d0, ---
PC=000002d4, REG[15]=00000004
PC=000002d8, REG[15]=00000005
PC=000002dc, ---
PC=000002e0, REG[14]=00000005
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=2917ec1a
PC=00000344, REG[14]=30705b04
PC=00000348, REG[15]=3a776692
PC=0000034c, REG[12]=3a776693
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=aa774892
PC=00000364, REG[14]=6a3afbb4
PC=00000368, REG[13]=0c4b196e
PC=0000036c, REG[14]=14b24446
PC=00000370, REG[14]=20fd5db4
PC=00000374, REG[15]=20fd5db4
PC=00000378, REG[10]=41fabb68
PC=0000037c, ---
PC=00000380, REG[10]=20fd5db4
PC=00000384, ---
PC=000002b8, REG[15]=20fd5db4
PC=000002bc, REG[14]=000001b4
PC=000002c0, REG[15]=00000005
PC=000002c4, REG[15]=00000014
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=00010004
PC=000002d0, ---
PC=000002d4, REG[15]=00000005
PC=000002d8, REG[15]=00000006
PC=000002dc, ---
PC=000002e0, REG[14]=00000006
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=3a776693
PC=00000344, REG[14]=20fd5db4
PC=00000348, REG[15]=da6ef4d7
PC=0000034c, REG[12]=da6ef4d8
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=114423d7
PC=00000364, REG[14]=77c9c4a4
PC=00000368, REG[13]=117d96fd
PC=0000036c, REG[14]=890de87b
PC=00000370, REG[14]=9a8b7f78
PC=00000374, REG[15]=9a8b7f78
PC=00000378, REG[10]=3516fef0
PC=0000037c, ---
PC=00000380, REG[10]=1a8b7f78
PC=00000384, ---
PC=000002b8, REG[15]=1a8b7f78
PC=000002bc, REG[14]=00000378
PC=000002c0, REG[15]=00000006
PC=000002c4, REG[15]=00000018
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=00010008
PC=000002d0, ---
PC=000002d4, REG[15]=00000006
PC=000002d8, REG[15]=00000007
PC=000002dc, ---
PC=000002e0, REG[14]=00000007
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=da6ef4d8
PC=00000344, REG[14]=9a8b7f78
PC=00000348, REG[15]=12b031f8
PC=0000034c, REG[12]=12b031f9
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=df36e9f8
PC=00000364, REG[14]=2f99f018
PC=00000368, REG[13]=41587fc8
PC=0000036c, REG[14]=0ed0da10
PC=00000370, REG[14]=502959d8
PC=00000374, REG[15]=502959d8
PC=00000378, REG[10]=a052b3b0
PC=0000037c, ---
PC=00000380, REG[10]=502959d8
PC=00000384, ---
PC=000002b8, REG[15]=502959d8
PC=000002bc, REG[14]=000001d8
PC=000002c0, REG[15]=00000007
PC=000002c4, REG[15]=0000001c
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=0001000c
PC=000002d0, ---
PC=000002d4, REG[15]=00000007
PC=000002d8, REG[15]=00000008
PC=000002dc, ---
PC=000002e0, REG[14]=00000008
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=12b031f9
PC=00000344, REG[14]=502959d8
PC=00000348, REG[15]=b3b04fc5
PC=0000034c, REG[12]=b3b04fc6
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=a0631cc5
PC=00000364, REG[14]=058ef2f8
PC=00000368, REG[13]=059738ab
PC=0000036c, REG[14]=a5f20fbd
PC=00000370, REG[14]=ab894868
PC=00000374, REG[15]=ab894868
PC=00000378, REG[10]=571290d0
PC=0000037c, ---
PC=00000380, REG[10]=2b894868
PC=00000384, ---
PC=000002b8, REG[15]=2b894868
PC=000002bc, REG[14]=00000068
PC=000002c0, REG[15]=00000008
PC=000002c4, REG[15]=00000020
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=00010010
PC=000002d0, ---
PC=000002d4, REG[15]=00000008
PC=000002d8, REG[15]=00000009
PC=000002dc, ---
PC=000002e0, REG[14]=00000009
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=b3b04fc6
PC=00000344, REG[14]=ab894868
PC=00000348, REG[15]=43cf3fce
PC=0000034c, REG[12]=43cf3fcf
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=efacbdce
PC=00000364, REG[14]=46955248
PC=00000368, REG[13]=35c14691
PC=0000036c, REG[14]=36421016
PC=00000370, REG[14]=6c0356a7
PC=00000374, REG[15]=6c0356a7
PC=00000378, REG[10]=d806ad4e
PC=0000037c, ---
PC=00000380, REG[10]=6c0356a7
PC=00000384, ---
PC=000002b8, REG[15]=6c0356a7
PC=000002bc, REG[14]=000002a7
PC=000002c0, REG[15]=00000009
PC=000002c4, REG[15]=00000024
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=00010014
PC=000002d0, ---
PC=000002d4, REG[15]=00000009
PC=000002d8, REG[15]=0000000a
PC=000002dc, ---
PC=000002e0, REG[14]=0000000a
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=43cf3fcf
PC=00000344, REG[14]=6c0356a7
PC=00000348, REG[15]=5390e863
PC=0000034c, REG[12]=5390e864
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=ccbe8363
PC=00000364, REG[14]=a7c6145b
PC=00000368, REG[13]=14492041
PC=0000036c, REG[14]=748497be
PC=00000370, REG[14]=88cdb7ff
PC=00000374, REG[15]=88cdb7ff
PC=00000378, REG[10]=119b6ffe
PC=0000037c, ---
PC=00000380, REG[10]=08cdb7ff
PC=00000384, ---
PC=000002b8, REG[15]=08cdb7ff
PC=000002bc, REG[14]=000003ff
PC=000002c0, REG[15]=0000000a
PC=000002c4, REG[15]=00000028
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=00010018
PC=000002d0, ---
PC=000002d4, REG[15]=0000000a
PC=000002d8, REG[15]=0000000b
PC=000002dc, ---
PC=000002e0, REG[14]=0000000b
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=5390e864
PC=00000344, REG[14]=88cdb7ff
PC=00000348, REG[15]=85f67594
PC=0000034c, REG[12]=85f67595
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=b59c2994
PC=00000364, REG[14]=e5dbd8d3
PC=00000368, REG[13]=18ffd1d8
PC=0000036c, REG[14]=9b780267
PC=00000370, REG[14]=b477d43f
PC=00000374, REG[15]=b477d43f
PC=00000378, REG[10]=68efa87e
PC=0000037c, ---
PC=00000380, REG[10]=3477d43f
PC=00000384, ---
PC=000002b8, REG[15]=3477d43f
PC=000002bc, REG[14]=0000003f
PC=000002c0, REG[15]=0000000b
PC=000002c4, REG[15]=0000002c
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=0001001c
PC=000002d0, ---
PC=000002d4, REG[15]=0000000b
PC=000002d8, REG[15]=0000000c
PC=000002dc, ---
PC=000002e0, REG[14]=0000000c
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=85f67595
PC=00000344, REG[14]=b477d43f
PC=00000348, REG[15]=7c609631
PC=0000034c, REG[12]=7c609632
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=e089af31
PC=00000364, REG[14]=68069013
PC=00000368, REG[13]=281365e7
PC=0000036c, REG[14]=48903f44
PC=00000370, REG[14]=70a3a52b
PC=00000374, REG[15]=70a3a52b
PC=00000378, REG[10]=e1474a56
PC=0000037c, ---
PC=00000380, REG[10]=70a3a52b
PC=00000384, ---
PC=000002b8, REG[15]=70a3a52b
PC=000002bc, REG[14]=0000012b
PC=000002c0, REG[15]=0000000c
PC=000002c4, REG[15]=00000030
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=00010020
PC=000002d0, ---
PC=000002d4, REG[15]=0000000c
PC=000002d8, REG[15]=0000000d
PC=000002dc, ---
PC=000002e0, REG[14]=0000000d
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=7c609632
PC=00000344, REG[14]=70a3a52b
PC=00000348, REG[15]=0a9734ca
PC=0000034c, REG[12]=0a9734cb
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=a1f40eca
PC=00000364, REG[14]=e1bb5d8f
PC=00000368, REG[13]=25354e98
PC=0000036c, REG[14]=83af6c59
PC=00000370, REG[14]=a8e4baf1
PC=00000374, REG[15]=a8e4baf1
PC=00000378, REG[10]=51c975e2
PC=0000037c, ---
PC=00000380, REG[10]=28e4baf1
PC=00000384, ---
PC=000002b8, REG[15]=28e4baf1
PC=000002bc, REG[14]=000002f1
PC=000002c0, REG[15]=0000000d
PC=000002c4, REG[15]=00000034
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=00010024
PC=000002d0, ---
PC=000002d4, REG[15]=0000000d
PC=000002d8, REG[15]=0000000e
PC=000002dc, ---
PC=000002e0, REG[14]=0000000e
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=0a9734cb
PC=00000344, REG[14]=a8e4baf1
PC=00000348, REG[15]=ddebfcaf
PC=0000034c, REG[12]=ddebfcb0
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=7720c3af
PC=00000364, REG[14]=83376b5d
PC=00000368, REG[13]=032b12f0
PC=0000036c, REG[14]=fa582f0c
PC=00000370, REG[14]=fd8341fc
PC=00000374, REG[15]=fd8341fc
PC=00000378, REG[10]=fb0683f8
PC=0000037c, ---
PC=00000380, REG[10]=7d8341fc
PC=00000384, ---
PC=000002b8, REG[15]=7d8341fc
PC=000002bc, REG[14]=000001fc
PC=000002c0, REG[15]=0000000e
PC=000002c4, REG[15]=00000038
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=00010028
PC=000002d0, ---
PC=000002d4, REG[15]=0000000e
PC=000002d8, REG[15]=0000000f
PC=000002dc, ---
PC=000002e0, REG[14]=0000000f
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=ddebfcb0
PC=00000344, REG[14]=fd8341fc
PC=00000348, REG[15]=6746baf0
PC=0000034c, REG[12]=6746baf1
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=63032af0
PC=00000364, REG[14]=e57a9d4c
PC=00000368, REG[13]=4263a79d
PC=0000036c, REG[14]=487dc83c
PC=00000370, REG[14]=8ae16fd9
PC=00000374, REG[15]=8ae16fd9
PC=00000378, REG[10]=15c2dfb2
PC=0000037c, ---
PC=00000380, REG[10]=0ae16fd9
PC=00000384, ---
PC=000002b8, REG[15]=0ae16fd9
PC=000002bc, REG[14]=000003d9
PC=000002c0, REG[15]=0000000f
PC=000002c4, REG[15]=0000003c
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=0001002c
PC=000002d0, ---
PC=000002d4, REG[15]=0000000f
PC=000002d8, REG[15]=00000010
PC=000002dc, ---
PC=000002e0, REG[14]=00000010
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=6746baf1
PC=00000344, REG[14]=8ae16fd9
PC=00000348, REG[15]=98716b5d
PC=0000034c, REG[12]=98716b5e
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=8fdd905d
PC=00000364, REG[14]=c56a5025
PC=00000368, REG[13]=1ee54ef8
PC=0000036c, REG[14]=5547e082
PC=00000370, REG[14]=742d2f7a
PC=00000374, REG[15]=742d2f7a
PC=00000378, REG[10]=e85a5ef4
PC=0000037c, ---
PC=00000380, REG[10]=742d2f7a
PC=00000384, ---
PC=000002b8, REG[15]=742d2f7a
PC=000002bc, REG[14]=0000037a
PC=000002c0, REG[15]=00000010
PC=000002c4, REG[15]=00000040
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=00010030
PC=000002d0, ---
PC=000002d4, REG[15]=00000010
PC=000002d8, REG[15]=00000011
PC=000002dc, ---
PC=000002e0, REG[14]=00000011
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=98716b5e
PC=00000344, REG[14]=742d2f7a
PC=00000348, REG[15]=75e98186
PC=0000034c, REG[12]=75e98187
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=2f037786
PC=00000364, REG[14]=b080de72
PC=00000368, REG[13]=2d9ab19e
PC=0000036c, REG[14]=df8455f8
PC=00000370, REG[14]=0d1f0796
PC=00000374, REG[15]=0d1f0796
PC=00000378, REG[10]=1a3e0f2c
PC=0000037c, ---
PC=00000380, REG[10]=0d1f0796
PC=00000384, ---
PC=000002b8, REG[15]=0d1f0796
PC=000002bc, REG[14]=00000396
PC=000002c0, REG[15]=00000011
PC=000002c4, REG[15]=00000044
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=00010034
PC=000002d0, ---
PC=000002d4, REG[15]=00000011
PC=000002d8, REG[15]=00000012
PC=000002dc, ---
PC=000002e0, REG[14]=00000012
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=75e98187
PC=00000344, REG[14]=0d1f0796
PC=00000348, REG[15]=08e0bdbb
PC=0000034c, REG[12]=08e0bdbc
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=ad3770bb
PC=00000364, REG[14]=a585bf5e
PC=00000368, REG[13]=23462df0
PC=0000036c, REG[14]=52bd3019
PC=00000370, REG[14]=76035e09
PC=00000374, REG[15]=76035e09
PC=00000378, REG[10]=ec06bc12
PC=0000037c, ---
PC=00000380, REG[10]=76035e09
PC=00000384, ---
PC=000002b8, REG[15]=76035e09
PC=000002bc, REG[14]=00000209
PC=000002c0, REG[15]=00000012
PC=000002c4, REG[15]=00000048
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=00010038
PC=000002d0, ---
PC=000002d4, REG[15]=00000012
PC=000002d8, REG[15]=00000013
PC=000002dc, ---
PC=000002e0, REG[14]=00000013
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
PC=0000033c, REG[11]=4c957f2d
PC=00000340, REG[13]=08e0bdbc
PC=00000344, REG[14]=76035e09
PC=00000348, REG[15]=4c0d9e0c
PC=0000034c, REG[12]=4c0d9e0d
PC=00000350, REG[15]=00000000
PC=00000354, ---
PC=00000358, REG[12]=5851f000
PC=0000035c, REG[12]=5851f42d
PC=00000360, REG[12]=6cd48a0c
PC=00000364, REG[14]=d17afe95
PC=00000368, REG[13]=02a7e78b
PC=0000036c, REG[14]=3e4f88a1
PC=00000370, REG[14]=40f7702c
PC=00000374, REG[15]=40f7702c
PC=00000378, REG[10]=81eee058
PC=0000037c, ---
PC=00000380, REG[10]=40f7702c
PC=00000384, ---
PC=000002b8, REG[15]=40f7702c
PC=000002bc, REG[14]=0000002c
PC=000002c0, REG[15]=00000013
PC=000002c4, REG[15]=0000004c
PC=000002c8, REG[13]=0000fff0
PC=000002cc, REG[15]=0001003c
PC=000002d0, ---
PC=000002d4, REG[15]=00000013
PC=000002d8, REG[15]=00000014
PC=000002dc, ---
PC=000002e0, REG[14]=00000014
PC=000002e4, REG[15]=00000062
PC=000002e8, ---
PC=000002b0, REG[ 1]=000002b0
PC=000002b4, REG[ 1]=000002b8
PC=00000330, REG[15]=00001000
PC=00000334, REG[16]=00000400
PC=00000338, REG[11]=4c958000
