PC=00000000, REG[ 2]=00000008
PC=000000a0, REG[ 1]=0000005d
PC=000000a4, ---
PC=00000068, REG[ 5]=00000004
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=f3c6698c
PC=00000074, REG[11]=ff16b8c9
PC=00000078, REG[12]=c1aecea5
PC=0000007c, REG[12]=ccff1de2
PC=00000080, REG[13]=b60be85a
PC=00000084, REG[13]=c15c3797
PC=00000088, REG[ 2]=572ac03b
PC=0000008c, REG[ 2]=627b0f78
PC=00000090, REG[11]=0000ff16
PC=00000094, REG[12]=0000ccff
PC=00000098, REG[13]=0000c15c
PC=0000009c, REG[14]=0000627b
PC=000000a0, REG[ 1]=0000006d
PC=000000a4, ---
PC=00000068, REG[ 5]=00000005
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=d8c0c998
PC=00000074, REG[11]=e41118d5
PC=00000078, REG[12]=8b67fa81
PC=0000007c, REG[12]=96b849be
PC=00000080, REG[13]=8b7380c6
PC=00000084, REG[13]=96c3d003
PC=00000088, REG[ 2]=3596a2f7
PC=0000008c, REG[ 2]=40e6f234
PC=00000090, REG[11]=0000e411
PC=00000094, REG[12]=000096b8
PC=00000098, REG[13]=000096c3
PC=0000009c, REG[14]=000040e6
PC=000000a0, REG[ 1]=0000007d
PC=000000a4, ---
PC=00000068, REG[ 5]=00000006
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=da811d64
PC=00000074, REG[11]=e5d16ca1
PC=00000078, REG[12]=b0570b1d
PC=0000007c, REG[12]=bba75a5a
PC=00000080, REG[13]=16622af2
PC=00000084, REG[13]=21b27a2f
PC=00000088, REG[ 2]=cab31073
PC=0000008c, REG[ 2]=d6035fb0
PC=00000090, REG[11]=0000e5d1
PC=00000094, REG[12]=0000bba7
PC=00000098, REG[13]=000021b2
PC=0000009c, REG[14]=0000d603
PC=000000a0, REG[ 1]=0000008d
PC=000000a4, ---
PC=00000068, REG[ 5]=00000007
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=6c1e90f0
PC=00000074, REG[11]=776ee02d
PC=00000078, REG[12]=1ca27c79
PC=0000007c, REG[12]=27f2cbb6
PC=00000080, REG[13]=6e2072de
PC=00000084, REG[13]=7970c21b
PC=00000088, REG[ 2]=397264af
PC=0000008c, REG[ 2]=44c2b3ec
PC=00000090, REG[11]=0000776e
PC=00000094, REG[12]=000027f2
PC=00000098, REG[13]=00007970
PC=0000009c, REG[14]=000044c2
PC=000000a0, REG[ 1]=0000009d
PC=000000a4, ---
PC=00000068, REG[ 5]=00000008
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=f65e103c
PC=00000074, REG[11]=01ae5f79
PC=00000078, REG[12]=fd278a95
PC=0000007c, REG[12]=0877d9d2
PC=00000080, REG[13]=4292a48a
PC=00000084, REG[13]=4de2f3c7
PC=00000088, REG[ 2]=8ab3bbab
PC=0000008c, REG[ 2]=96040ae8
PC=00000090, REG[11]=000001ae
PC=00000094, REG[12]=00000877
PC=00000098, REG[13]=00004de2
PC=0000009c, REG[14]=00009604
PC=000000a0, REG[ 1]=000000ad
PC=000000a4, ---
PC=00000068, REG[ 5]=00000009
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=e0fe4748
PC=00000074, REG[11]=ec4e9685
PC=00000078, REG[12]=2f963171
PC=0000007c, REG[12]=3ae680ae
PC=00000080, REG[13]=e7e4cbf6
PC=00000084, REG[13]=f3351b33
PC=00000088, REG[ 2]=763ef167
PC=0000008c, REG[ 2]=818f40a4
PC=00000090, REG[11]=0000ec4e
PC=00000094, REG[12]=00003ae6
PC=00000098, REG[13]=0000f335
PC=0000009c, REG[14]=0000818f
PC=000000a0, REG[ 1]=000000bd
PC=000000a4, ---
PC=00000068, REG[ 5]=0000000a
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=73c3a214
PC=00000074, REG[11]=7f13f151
PC=00000078, REG[12]=eb4d2d0d
PC=0000007c, REG[12]=f69d7c4a
PC=00000080, REG[13]=77f6b522
PC=00000084, REG[13]=8347045f
PC=00000088, REG[ 2]=aa80a1e3
PC=0000008c, REG[ 2]=b5d0f120
PC=00000090, REG[11]=00007f13
PC=00000094, REG[12]=0000f69d
PC=00000098, REG[13]=00008347
PC=0000009c, REG[14]=0000b5d0
PC=000000a0, REG[ 1]=000000cd
PC=000000a4, ---
PC=00000068, REG[ 5]=0000000b
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=fb444ca0
PC=00000074, REG[11]=06949bdd
PC=00000078, REG[12]=5ef5f969
PC=0000007c, REG[12]=6a4648a6
PC=00000080, REG[13]=d587ec0e
PC=00000084, REG[13]=e0d83b4b
PC=00000088, REG[ 2]=2f06291f
PC=0000008c, REG[ 2]=3a56785c
PC=00000090, REG[11]=00000694
PC=00000094, REG[12]=00006a46
PC=00000098, REG[13]=0000e0d8
PC=0000009c, REG[14]=00003a56
PC=000000a0, REG[ 1]=000000dd
PC=000000a4, ---
PC=00000068, REG[ 5]=0000000c
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=5d7432ec
PC=00000074, REG[11]=68c48229
PC=00000078, REG[12]=bee0d285
PC=0000007c, REG[12]=ca3121c2
PC=00000080, REG[13]=1d23bcba
PC=00000084, REG[13]=28740bf7
PC=00000088, REG[ 2]=3db9a31b
PC=0000008c, REG[ 2]=4909f258
PC=00000090, REG[11]=000068c4
PC=00000094, REG[12]=0000ca31
PC=00000098, REG[13]=00002874
PC=0000009c, REG[14]=00004909
PC=000000a0, REG[ 1]=000000ed
PC=000000a4, ---
PC=00000068, REG[ 5]=0000000d
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=09f100f8
PC=00000074, REG[11]=15415035
PC=00000078, REG[12]=0020b461
PC=0000007c, REG[12]=0b71039e
PC=00000080, REG[13]=cfcd3326
PC=00000084, REG[13]=db1d8263
PC=00000088, REG[ 2]=aeddebd7
PC=0000008c, REG[ 2]=ba2e3b14
PC=00000090, REG[11]=00001541
PC=00000094, REG[12]=00000b71
PC=00000098, REG[13]=0000db1d
PC=0000009c, REG[14]=0000ba2e
PC=000000a0, REG[ 1]=000000fd
PC=000000a4, ---
PC=00000068, REG[ 5]=0000000e
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=f20e22c4
PC=00000074, REG[11]=fd5e7201
PC=00000078, REG[12]=3c675afd
PC=0000007c, REG[12]=47b7aa3a
PC=00000080, REG[13]=c36b1b52
PC=00000084, REG[13]=cebb6a8f
PC=00000088, REG[ 2]=d3ca9f53
PC=0000008c, REG[ 2]=df1aee90
PC=00000090, REG[11]=0000fd5e
PC=00000094, REG[12]=000047b7
PC=00000098, REG[13]=0000cebb
PC=0000009c, REG[14]=0000df1a
PC=000000a0, REG[ 1]=0000010d
PC=000000a4, ---
PC=00000068, REG[ 5]=0000000f
PC=0000006c, REG[ 6]=00000001
PC=00000070, REG[11]=f4a0c450
PC=00000074, REG[11]=fff1138d
PC=00000078, REG[12]=7aa14259
PC=0000007c, REG[12]=85f19196
PC=00000080, REG[13]=a4f4013e
PC=00000084, REG[13]=b044507b
PC=00000088, REG[ 2]=5c68198f
PC=0000008c, REG[ 2]=67b868cc
PC=00000090, REG[11]=0000fff1
PC=00000094, REG[12]=000085f1
PC=00000098, REG[13]=0000b044
PC=0000009c, REG[14]=000067b8
PC=000000a0, REG[ 1]=0000011d
PC=000000a4, ---
PC=00000068, REG[ 5]=00000010
PC=0000006c, REG[ 6]=00000000
PC=00000070, REG[11]=e98bd19c
PC=00000074, REG[11]=f4dc20d9
PC=00000078, REG[12]=5851a675
PC=0000007c, REG[12]=63a1f5b2
PC=00000080, REG[13]=985a30ea
PC=00000084, REG[13]=a3aa8027
PC=00000088, REG[ 2]=a36b768b
PC=0000008c, REG[ 2]=aebbc5c8
PC=00000090, REG[11]=0000f4dc
PC=00000094, REG[12]=000063a1
PC=00000098, REG[13]=0000a3aa
PC=0000009c, REG[14]=0000aebb
PC=000000a0, REG[ 1]=0000012d
PC=000000a4, ---
PC=000000a8, ---
