PC=00000000, REG[30]=00000000
PC=000005b8, ---
PC=000005bc, ---
PC=000002c8, REG[21]=20000000
PC=000002cc, REG[30]=3eefbeef
PC=000002d0, ---
PC=000005c8, REG[21]=20000000
PC=000005cc, REG[30]=3eefbeef
PC=000005d0, ---
PC=000005d4, ---
PC=000002e0, REG[21]=00000000
PC=000002e4, REG[30]=3eefbeef
PC=000002e8, ---
PC=000005e0, REG[21]=00000000
PC=000005e4, REG[30]=3eefbeef
PC=000005e8, ---
PC=000005ec, ---
PC=000002f8, REG[21]=80000000
PC=000002fc, REG[30]=beefbeef
PC=00000300, ---
PC=000005f8, REG[21]=80000000
PC=000005fc, REG[30]=beefbeef
PC=00000600, ---
PC=00000604, ---
PC=00000610, REG[21]=00000001
PC=00000614, REG[31]=00000001
PC=00000618, ---
PC=00000910, REG[21]=00000001
PC=00000914, REG[31]=00000001
PC=00000918, ---
PC=0000091c, ---
PC=00000628, REG[21]=00000002
PC=0000062c, REG[31]=00000003
PC=00000630, ---
PC=00000928, REG[21]=00000002
PC=0000092c, REG[31]=00000003
PC=00000930, ---
PC=00000934, ---
PC=00000640, REG[21]=00000004
PC=00000644, REG[31]=00000007
PC=00000648, ---
PC=00000940, REG[21]=00000004
PC=00000944, REG[31]=00000007
PC=00000948, ---
PC=0000094c, ---
PC=00000658, REG[21]=00000008
PC=0000065c, REG[31]=0000000f
PC=00000660, ---
PC=00000958, REG[21]=00000008
PC=0000095c, REG[31]=0000000f
PC=00000960, ---
PC=00000964, ---
PC=00000670, REG[21]=00000000
PC=00000674, REG[31]=0000000f
PC=00000678, ---
PC=00000970, REG[21]=00000000
PC=00000974, REG[31]=0000000f
PC=00000978, ---
PC=0000097c, ---
PC=00000688, REG[21]=00000020
PC=0000068c, REG[31]=0000002f
PC=00000690, ---
PC=00000988, REG[21]=00000020
PC=0000098c, REG[31]=0000002f
PC=00000990, ---
PC=00000994, ---
PC=000006a0, REG[21]=00000040
PC=000006a4, REG[31]=0000006f
PC=000006a8, ---
PC=000009a0, REG[21]=00000040
PC=000009a4, REG[31]=0000006f
PC=000009a8, ---
PC=000009ac, ---
PC=000006b8, REG[21]=00000080
PC=000006bc, REG[31]=000000ef
PC=000006c0, ---
PC=000009b8, REG[21]=00000080
PC=000009bc, REG[31]=000000ef
PC=000009c0, ---
PC=000009c4, ---
PC=000006d0, REG[21]=00000000
PC=000006d4, REG[31]=000000ef
PC=000006d8, ---
PC=000009d0, REG[21]=00000000
PC=000009d4, REG[31]=000000ef
PC=000009d8, ---
PC=000009dc, ---
PC=000006e8, REG[21]=00000200
PC=000006ec, REG[31]=000002ef
PC=000006f0, ---
PC=000009e8, REG[21]=00000200
PC=000009ec, REG[31]=000002ef
PC=000009f0, ---
PC=000009f4, ---
PC=00000700, REG[21]=00000400
PC=00000704, REG[31]=000006ef
PC=00000708, ---
PC=00000a00, REG[21]=00000400
PC=00000a04, REG[31]=000006ef
PC=00000a08, ---
PC=00000a0c, ---
PC=00000718, REG[21]=00000800
PC=0000071c, REG[31]=00000eef
PC=00000720, ---
PC=00000a18, REG[21]=00000800
PC=00000a1c, REG[31]=00000eef
PC=00000a20, ---
PC=00000a24, ---
PC=00000730, REG[21]=00001000
PC=00000734, REG[31]=00001eef
PC=00000738, ---
PC=00000a30, REG[21]=00001000
PC=00000a34, REG[31]=00001eef
PC=00000a38, ---
PC=00000a3c, ---
PC=00000748, REG[21]=00002000
PC=0000074c, REG[31]=00003eef
PC=00000750, ---
PC=00000a48, REG[21]=00002000
PC=00000a4c, REG[31]=00003eef
PC=00000a50, ---
PC=00000a54, ---
PC=00000760, REG[21]=00000000
PC=00000764, REG[31]=00003eef
PC=00000768, ---
PC=00000a60, REG[21]=00000000
PC=00000a64, REG[31]=00003eef
PC=00000a68, ---
PC=00000a6c, ---
PC=00000778, REG[21]=00008000
PC=0000077c, REG[31]=0000beef
PC=00000780, ---
PC=00000a78, REG[21]=00008000
PC=00000a7c, REG[31]=0000beef
PC=00000a80, ---
PC=00000a84, ---
PC=00000790, REG[21]=00010000
PC=00000794, REG[31]=0001beef
PC=00000798, ---
PC=00000a90, REG[21]=00010000
PC=00000a94, REG[31]=0001beef
PC=00000a98, ---
PC=00000a9c, ---
PC=000007a8, REG[21]=00000000
PC=000007ac, REG[31]=0001beef
PC=000007b0, ---
PC=00000aa8, REG[21]=00000000
PC=00000aac, REG[31]=0001beef
PC=00000ab0, ---
PC=00000ab4, ---
PC=000007c0, REG[21]=00040000
PC=000007c4, REG[31]=0005beef
PC=000007c8, ---
PC=00000ac0, REG[21]=00040000
PC=00000ac4, REG[31]=0005beef
PC=00000ac8, ---
PC=00000acc, ---
PC=000007d8, REG[21]=00080000
PC=000007dc, REG[31]=000dbeef
PC=000007e0, ---
PC=00000ad8, REG[21]=00080000
PC=00000adc, REG[31]=000dbeef
PC=00000ae0, ---
PC=00000ae4, ---
PC=000007f0, REG[21]=00000000
PC=000007f4, REG[31]=000dbeef
PC=000007f8, ---
PC=00000af0, REG[21]=00000000
PC=00000af4, REG[31]=000dbeef
PC=00000af8, ---
PC=00000afc, ---
PC=00000808, REG[21]=00200000
PC=0000080c, REG[31]=002dbeef
PC=00000810, ---
PC=00000b08, REG[21]=00200000
PC=00000b0c, REG[31]=002dbeef
PC=00000b10, ---
PC=00000b14, ---
PC=00000820, REG[21]=00000000
PC=00000824, REG[31]=002dbeef
PC=00000828, ---
PC=00000b20, REG[21]=00000000
PC=00000b24, REG[31]=002dbeef
PC=00000b28, ---
PC=00000b2c, ---
PC=00000838, REG[21]=00800000
PC=0000083c, REG[31]=00adbeef
PC=00000840, ---
PC=00000b38, REG[21]=00800000
PC=00000b3c, REG[31]=00adbeef
PC=00000b40, ---
PC=00000b44, ---
PC=00000850, REG[21]=00000000
PC=00000854, REG[31]=00adbeef
PC=00000858, ---
PC=00000b50, REG[21]=00000000
PC=00000b54, REG[31]=00adbeef
PC=00000b58, ---
PC=00000b5c, ---
PC=00000868, REG[21]=02000000
PC=0000086c, REG[31]=02adbeef
PC=00000870, ---
PC=00000b68, REG[21]=02000000
PC=00000b6c, REG[31]=02adbeef
PC=00000b70, ---
PC=00000b74, ---
PC=00000880, REG[21]=04000000
PC=00000884, REG[31]=06adbeef
PC=00000888, ---
PC=00000b80, REG[21]=04000000
PC=00000b84, REG[31]=06adbeef
PC=00000b88, ---
PC=00000b8c, ---
PC=00000898, REG[21]=08000000
PC=0000089c, REG[31]=0eadbeef
PC=000008a0, ---
PC=00000b98, REG[21]=08000000
PC=00000b9c, REG[31]=0eadbeef
PC=00000ba0, ---
PC=00000ba4, ---
PC=000008b0, REG[21]=10000000
PC=000008b4, REG[31]=1eadbeef
PC=000008b8, ---
PC=00000bb0, REG[21]=10000000
PC=00000bb4, REG[31]=1eadbeef
PC=00000bb8, ---
PC=00000bbc, ---
PC=000008c8, REG[21]=00000000
PC=000008cc, REG[31]=1eadbeef
PC=000008d0, ---
PC=00000bc8, REG[21]=00000000
PC=00000bcc, REG[31]=1eadbeef
PC=00000bd0, ---
PC=00000bd4, ---
PC=000008e0, REG[21]=40000000
PC=000008e4, REG[31]=5eadbeef
PC=000008e8, ---
PC=00000be0, REG[21]=40000000
PC=00000be4, REG[31]=5eadbeef
PC=00000be8, ---
PC=00000bec, ---
PC=000008f8, REG[21]=80000000
PC=000008fc, REG[31]=deadbeef
PC=00000900, ---
PC=00000bf8, REG[21]=80000000
PC=00000bfc, REG[31]=deadbeef
PC=00000c00, ---
PC=00000c04, ---
PC=00000c10, REG[21]=00004000
PC=00000c14, REG[21]=00003e80
PC=00000c18, ---
PC=00000c1c, ---
PC=00000c20, ---
