PC=00000000, ---
PC=000003a0, REG[14]=0000000c
PC=000003a4, ---
PC=000003a8, REG[15]=000008a0
PC=000003ac, REG[15]=0000000c
PC=000003b0, REG[14]=0000000c
PC=000003b4, ---
PC=000003b8, REG[15]=000008a0
PC=000003bc, REG[14]=000048a0
PC=000003c0, REG[15]=000048a0
PC=000003c4, ---
PC=000003c8, ---
PC=00000408, REG[15]=00005000
PC=0000040c, REG[14]=000048a0
PC=00000410, ---
PC=00000414, REG[15]=000008a0
PC=00000418, REG[15]=000008a8
PC=0000041c, ---
PC=00000420, REG[15]=000008a8
PC=00000424, ---
PC=00000470, REG[10]=000008a8
PC=00000474, REG[ 1]=000004f8
PC=00000478, REG[ 8]=0000ffe0
PC=0000047c, REG[ 2]=0000ffb0
PC=00000480, ---
PC=000004f8, ---
PC=000004fc, REG[15]=000008a8
PC=00000500, REG[14]=00000004
PC=00000504, ---
PC=00000508, REG[15]=000008a8
PC=0000050c, REG[14]=00000001
PC=00000510, ---
PC=00000514, REG[15]=000008a8
PC=00000518, ---
PC=0000051c, REG[15]=000008a8
PC=00000520, REG[10]=000008a8
PC=00000524, REG[ 1]=000006d0
PC=00000528, REG[ 8]=00010000
PC=0000052c, REG[ 2]=0000ffe0
PC=00000530, ---
PC=000006d0, REG[15]=000008a8
PC=000006d4, ---
PC=000006d8, REG[15]=0000ffec
PC=000006dc, REG[12]=00000002
PC=000006e0, REG[11]=00000005
PC=000006e4, REG[10]=0000ffec
PC=000006e8, REG[ 1]=000006e8
PC=000006ec, REG[ 1]=000006f0
PC=000005b4, REG[ 2]=0000ffb0
PC=000005b8, ---
PC=000005bc, ---
PC=000005c0, REG[ 8]=0000ffe0
PC=000005c4, ---
PC=000005c8, ---
PC=000005cc, ---
PC=000005d0, REG[15]=0000ffec
PC=000005d4, REG[15]=000008a8
PC=000005d8, ---
PC=000005dc, REG[11]=00000002
PC=000005e0, REG[10]=00000005
PC=000005e4, REG[ 1]=000005e4
PC=000005e8, REG[ 1]=000005ec
PC=000004d4, REG[ 2]=0000ff80
PC=000004d8, ---
PC=000004dc, ---
PC=000004e0, REG[ 8]=0000ffb0
PC=000004e4, ---
PC=000004e8, ---
PC=000004ec, REG[10]=0000000c
PC=000004f0, REG[ 1]=000004f0
PC=000004f4, REG[ 1]=000004f8
PC=000002f0, REG[ 2]=0000ff50
PC=000002f4, ---
PC=000002f8, ---
PC=000002fc, REG[ 8]=0000ff80
PC=00000300, ---
PC=00000304, REG[14]=0000000c
PC=00000308, REG[15]=00004000
PC=0000030c, ---
PC=00000318, REG[15]=0000000c
PC=0000031c, REG[15]=00000000
PC=00000320, ---
PC=00000334, REG[15]=0000000c
PC=00000338, REG[15]=00000014
PC=0000033c, ---
PC=00000340, REG[15]=00005000
PC=00000344, REG[15]=000048a0
PC=00000348, ---
PC=0000034c, REG[15]=000048a0
PC=00000350, ---
PC=0000038c, REG[15]=000048a0
PC=00000390, REG[15]=000048a0
PC=00000394, ---
PC=00000398, REG[15]=000048a0
PC=0000039c, REG[15]=00000000
PC=000003a0, REG[14]=0000000c
PC=000003a4, ---
PC=00000428, REG[15]=00005000
PC=0000042c, REG[15]=000048a0
PC=00000430, REG[14]=000048a0
PC=00000434, ---
PC=00000438, REG[10]=00000014
PC=0000043c, REG[ 1]=0000043c
PC=00000440, REG[ 1]=00000444
PC=00000244, REG[ 2]=0000ff20
PC=00000248, ---
PC=0000024c, ---
PC=00000250, REG[ 8]=0000ff50
PC=00000254, ---
PC=00000258, REG[15]=00001000
PC=0000025c, REG[15]=00003fec
PC=00000260, REG[14]=00000014
PC=00000264, ---
PC=00000270, REG[15]=00001000
PC=00000274, REG[15]=000008b4
PC=00000278, ---
PC=0000027c, REG[15]=00001000
PC=00000280, REG[14]=000008b4
PC=00000284, REG[15]=00000014
PC=00000288, REG[14]=000008c8
PC=0000028c, REG[15]=00001000
PC=00000290, ---
PC=00000294, REG[15]=00001000
PC=00000298, REG[14]=00003fec
PC=0000029c, REG[15]=00000014
PC=000002a0, REG[14]=00003fd8
PC=000002a4, REG[15]=00001000
PC=000002a8, ---
PC=000002ac, REG[15]=00000014
PC=000002b0, REG[14]=0000000c
PC=000002b4, REG[15]=000008b4
PC=000002b8, ---
PC=000002bc, REG[15]=000008b4
PC=000002c0, REG[15]=000008bc
PC=000002c4, ---
PC=000002c8, REG[10]=000008bc
PC=000002cc, REG[ 1]=000002cc
PC=000002d0, REG[ 1]=000002d4
PC=000000b4, REG[ 2]=0000fef0
PC=000000b8, ---
PC=000000bc, ---
PC=000000c0, REG[ 8]=0000ff20
PC=000000c4, ---
PC=000000c8, REG[14]=000008bc
PC=000000cc, REG[15]=00001000
PC=000000d0, REG[15]=000008a0
PC=000000d4, ---
PC=000000d8, REG[15]=00005000
PC=000000dc, REG[15]=000048a0
PC=000000e0, REG[14]=000008bc
PC=000000e4, ---
PC=000000f4, REG[15]=000008bc
PC=000000f8, REG[15]=000008b4
PC=000000fc, ---
PC=00000100, REG[15]=00005000
PC=00000104, REG[15]=000048a0
PC=00000108, ---
PC=0000010c, ---
PC=00000148, REG[14]=000008b4
PC=0000014c, REG[15]=000048a0
PC=00000150, ---
PC=00000110, REG[15]=000048a0
PC=00000114, REG[15]=000048a0
PC=00000118, REG[14]=000048a0
PC=0000011c, ---
PC=00000120, REG[14]=000008b4
PC=00000124, REG[15]=000048a0
PC=00000128, ---
PC=0000012c, REG[15]=000048a0
PC=00000130, REG[15]=000048a0
PC=00000134, REG[14]=000008b4
PC=00000138, ---
PC=00000164, REG[15]=000008b4
PC=00000168, REG[15]=0000000c
PC=0000016c, REG[15]=00000060
PC=00000170, REG[14]=000008b4
PC=00000174, REG[14]=00000914
PC=00000178, REG[15]=000048a0
PC=0000017c, REG[15]=000048a0
PC=00000180, ---
PC=000001bc, REG[15]=000048a0
PC=000001c0, REG[14]=000048a0
PC=000001c4, REG[15]=000008b4
PC=000001c8, ---
PC=000001cc, REG[15]=000048a0
PC=000001d0, REG[15]=00000000
PC=000001d4, REG[15]=00000000
PC=000001d8, REG[14]=000048a0
PC=000001dc, REG[15]=000048a0
PC=000001e0, REG[14]=000008b4
PC=000001e4, ---
PC=00000218, REG[15]=000048a0
PC=0000021c, REG[14]=000008b4
PC=00000220, ---
PC=00000224, REG[15]=00005000
PC=00000228, REG[14]=000048a0
PC=0000022c, ---
PC=00000230, ---
PC=00000234, REG[ 1]=000002d4
PC=00000238, REG[ 8]=0000ff50
PC=0000023c, REG[ 2]=0000ff20
PC=00000240, ---
PC=000002d4, REG[15]=00005000
PC=000002d8, REG[15]=000048a0
PC=000002dc, REG[10]=000048a0
PC=000002e0, REG[ 1]=00000444
PC=000002e4, REG[ 8]=0000ff80
PC=000002e8, REG[ 2]=0000ff50
PC=000002ec, ---
PC=00000444, ---
PC=00000448, REG[15]=000048a0
PC=0000044c, ---
PC=00000458, REG[15]=000048a0
PC=0000045c, ---
PC=00000460, REG[15]=000048a0
PC=00000464, REG[15]=000008b4
PC=00000468, ---
PC=0000046c, ---
PC=00000398, REG[15]=000008b4
PC=0000039c, REG[15]=0000000c
PC=000003a0, REG[14]=0000000c
PC=000003a4, ---
PC=000003a8, REG[15]=000008b4
PC=000003ac, REG[15]=0000000c
PC=000003b0, REG[14]=0000000c
PC=000003b4, ---
PC=000003b8, REG[15]=000008b4
PC=000003bc, REG[14]=000048a0
PC=000003c0, REG[15]=000048a0
PC=000003c4, ---
PC=000003c8, ---
PC=00000408, REG[15]=00005000
PC=0000040c, REG[14]=000048a0
PC=00000410, ---
PC=00000414, REG[15]=000008b4
PC=00000418, REG[15]=000008bc
PC=0000041c, ---
PC=00000420, REG[15]=000008bc
PC=00000424, ---
PC=00000470, REG[10]=000008bc
PC=00000474, REG[ 1]=000004f8
PC=00000478, REG[ 8]=0000ffb0
PC=0000047c, REG[ 2]=0000ff80
PC=00000480, ---
PC=000004f8, ---
PC=000004fc, REG[15]=000008bc
PC=00000500, REG[14]=00000005
PC=00000504, ---
PC=00000508, REG[15]=000008bc
PC=0000050c, REG[14]=00000002
PC=00000510, ---
PC=00000514, REG[15]=000008bc
PC=00000518, ---
PC=0000051c, REG[15]=000008bc
PC=00000520, REG[10]=000008bc
PC=00000524, REG[ 1]=000005ec
PC=00000528, REG[ 8]=0000ffe0
PC=0000052c, REG[ 2]=0000ffb0
PC=00000530, ---
PC=000005ec, ---
PC=000005f0, REG[15]=0000ffec
PC=000005f4, REG[15]=000008a8
PC=000005f8, REG[15]=00000001
PC=000005fc, REG[14]=00000002
PC=00000600, ---
PC=00000630, REG[15]=000008a8
PC=00000634, REG[15]=00000000
PC=00000638, ---
PC=00000650, REG[15]=000008a8
PC=00000654, REG[14]=00000000
PC=00000658, REG[15]=000008bc
PC=0000065c, ---
PC=00000660, REG[15]=000008a8
PC=00000664, REG[14]=000008bc
PC=00000668, ---
PC=0000066c, ---
PC=00000670, REG[ 1]=000006f0
PC=00000674, REG[ 8]=00010000
PC=00000678, REG[ 2]=0000ffe0
PC=0000067c, ---
PC=000006f0, REG[15]=0000ffec
PC=000006f4, REG[12]=00000003
PC=000006f8, REG[11]=00000006
PC=000006fc, REG[10]=0000ffec
PC=00000700, REG[ 1]=00000700
PC=00000704, REG[ 1]=00000708
PC=000005b4, REG[ 2]=0000ffb0
PC=000005b8, ---
PC=000005bc, ---
PC=000005c0, REG[ 8]=0000ffe0
PC=000005c4, ---
PC=000005c8, ---
PC=000005cc, ---
PC=000005d0, REG[15]=0000ffec
PC=000005d4, REG[15]=000008a8
PC=000005d8, ---
PC=000005dc, REG[11]=00000003
PC=000005e0, REG[10]=00000006
PC=000005e4, REG[ 1]=000005e4
PC=000005e8, REG[ 1]=000005ec
PC=000004d4, REG[ 2]=0000ff80
PC=000004d8, ---
PC=000004dc, ---
PC=000004e0, REG[ 8]=0000ffb0
PC=000004e4, ---
PC=000004e8, ---
PC=000004ec, REG[10]=0000000c
PC=000004f0, REG[ 1]=000004f0
PC=000004f4, REG[ 1]=000004f8
PC=000002f0, REG[ 2]=0000ff50
PC=000002f4, ---
PC=000002f8, ---
PC=000002fc, REG[ 8]=0000ff80
PC=00000300, ---
PC=00000304, REG[14]=0000000c
PC=00000308, REG[15]=00004000
PC=0000030c, ---
PC=00000318, REG[15]=0000000c
PC=0000031c, REG[15]=00000000
PC=00000320, ---
PC=00000334, REG[15]=0000000c
PC=00000338, REG[15]=00000014
PC=0000033c, ---
PC=00000340, REG[15]=00005000
PC=00000344, REG[15]=000048a0
PC=00000348, ---
PC=0000034c, REG[15]=000048a0
PC=00000350, ---
PC=0000038c, REG[15]=000048a0
PC=00000390, REG[15]=000048a0
PC=00000394, ---
PC=00000398, REG[15]=000048a0
PC=0000039c, REG[15]=00000000
PC=000003a0, REG[14]=0000000c
PC=000003a4, ---
PC=00000428, REG[15]=00005000
PC=0000042c, REG[15]=000048a0
PC=00000430, REG[14]=000048a0
PC=00000434, ---
PC=00000438, REG[10]=00000014
PC=0000043c, REG[ 1]=0000043c
PC=00000440, REG[ 1]=00000444
PC=00000244, REG[ 2]=0000ff20
PC=00000248, ---
PC=0000024c, ---
PC=00000250, REG[ 8]=0000ff50
PC=00000254, ---
PC=00000258, REG[15]=00001000
PC=0000025c, REG[15]=00003fd8
PC=00000260, REG[14]=00000014
PC=00000264, ---
PC=00000270, REG[15]=00001000
PC=00000274, REG[15]=000008c8
PC=00000278, ---
PC=0000027c, REG[15]=00001000
PC=00000280, REG[14]=000008c8
PC=00000284, REG[15]=00000014
PC=00000288, REG[14]=000008dc
PC=0000028c, REG[15]=00001000
PC=00000290, ---
PC=00000294, REG[15]=00001000
PC=00000298, REG[14]=00003fd8
PC=0000029c, REG[15]=00000014
PC=000002a0, REG[14]=00003fc4
PC=000002a4, REG[15]=00001000
PC=000002a8, ---
PC=000002ac, REG[15]=00000014
PC=000002b0, REG[14]=0000000c
PC=000002b4, REG[15]=000008c8
PC=000002b8, ---
PC=000002bc, REG[15]=000008c8
PC=000002c0, REG[15]=000008d0
PC=000002c4, ---
PC=000002c8, REG[10]=000008d0
PC=000002cc, REG[ 1]=000002cc
PC=000002d0, REG[ 1]=000002d4
PC=000000b4, REG[ 2]=0000fef0
PC=000000b8, ---
PC=000000bc, ---
PC=000000c0, REG[ 8]=0000ff20
PC=000000c4, ---
PC=000000c8, REG[14]=000008d0
PC=000000cc, REG[15]=00001000
PC=000000d0, REG[15]=000008a0
PC=000000d4, ---
PC=000000d8, REG[15]=00005000
PC=000000dc, REG[15]=000048a0
PC=000000e0, REG[14]=000008d0
PC=000000e4, ---
PC=000000f4, REG[15]=000008d0
PC=000000f8, REG[15]=000008c8
PC=000000fc, ---
PC=00000100, REG[15]=00005000
PC=00000104, REG[15]=000048a0
PC=00000108, ---
PC=0000010c, ---
PC=00000148, REG[14]=000008c8
PC=0000014c, REG[15]=000048a0
PC=00000150, ---
PC=00000110, REG[15]=000048a0
PC=00000114, REG[15]=000048a0
PC=00000118, REG[14]=000048a0
PC=0000011c, ---
PC=00000120, REG[14]=000008c8
PC=00000124, REG[15]=000048a0
PC=00000128, ---
PC=0000012c, REG[15]=000048a0
PC=00000130, REG[15]=000048a0
PC=00000134, REG[14]=000008c8
PC=00000138, ---
PC=00000164, REG[15]=000008c8
PC=00000168, REG[15]=0000000c
PC=0000016c, REG[15]=00000060
PC=00000170, REG[14]=000008c8
PC=00000174, REG[14]=00000928
PC=00000178, REG[15]=000048a0
PC=0000017c, REG[15]=000048a0
PC=00000180, ---
PC=000001bc, REG[15]=000048a0
PC=000001c0, REG[14]=000048a0
PC=000001c4, REG[15]=000008c8
PC=000001c8, ---
PC=000001cc, REG[15]=000048a0
PC=000001d0, REG[15]=00000000
PC=000001d4, REG[15]=00000000
PC=000001d8, REG[14]=000048a0
PC=000001dc, REG[15]=000048a0
PC=000001e0, REG[14]=000008c8
PC=000001e4, ---
PC=00000218, REG[15]=000048a0
PC=0000021c, REG[14]=000008c8
PC=00000220, ---
PC=00000224, REG[15]=00005000
PC=00000228, REG[14]=000048a0
PC=0000022c, ---
PC=00000230, ---
PC=00000234, REG[ 1]=000002d4
PC=00000238, REG[ 8]=0000ff50
PC=0000023c, REG[ 2]=0000ff20
PC=00000240, ---
PC=000002d4, REG[15]=00005000
PC=000002d8, REG[15]=000048a0
PC=000002dc, REG[10]=000048a0
PC=000002e0, REG[ 1]=00000444
PC=000002e4, REG[ 8]=0000ff80
PC=000002e8, REG[ 2]=0000ff50
PC=000002ec, ---
PC=00000444, ---
PC=00000448, REG[15]=000048a0
PC=0000044c, ---
PC=00000458, REG[15]=000048a0
PC=0000045c, ---
PC=00000460, REG[15]=000048a0
PC=00000464, REG[15]=000008c8
PC=00000468, ---
PC=0000046c, ---
PC=00000398, REG[15]=000008c8
PC=0000039c, REG[15]=0000000c
PC=000003a0, REG[14]=0000000c
PC=000003a4, ---
PC=000003a8, REG[15]=000008c8
PC=000003ac, REG[15]=0000000c
PC=000003b0, REG[14]=0000000c
PC=000003b4, ---
PC=000003b8, REG[15]=000008c8
PC=000003bc, REG[14]=000048a0
PC=000003c0, REG[15]=000048a0
PC=000003c4, ---
PC=000003c8, ---
PC=00000408, REG[15]=00005000
PC=0000040c, REG[14]=000048a0
PC=00000410, ---
PC=00000414, REG[15]=000008c8
PC=00000418, REG[15]=000008d0
PC=0000041c, ---
PC=00000420, REG[15]=000008d0
PC=00000424, ---
PC=00000470, REG[10]=000008d0
PC=00000474, REG[ 1]=000004f8
PC=00000478, REG[ 8]=0000ffb0
PC=0000047c, REG[ 2]=0000ff80
PC=00000480, ---
PC=000004f8, ---
PC=000004fc, REG[15]=000008d0
PC=00000500, REG[14]=00000006
PC=00000504, ---
PC=00000508, REG[15]=000008d0
PC=0000050c, REG[14]=00000003
PC=00000510, ---
PC=00000514, REG[15]=000008d0
PC=00000518, ---
PC=0000051c, REG[15]=000008d0
PC=00000520, REG[10]=000008d0
PC=00000524, REG[ 1]=000005ec
PC=00000528, REG[ 8]=0000ffe0
PC=0000052c, REG[ 2]=0000ffb0
PC=00000530, ---
PC=000005ec, ---
PC=000005f0, REG[15]=0000ffec
PC=000005f4, REG[15]=000008a8
PC=000005f8, REG[15]=00000001
PC=000005fc, REG[14]=00000003
PC=00000600, ---
PC=00000630, REG[15]=000008a8
PC=00000634, REG[15]=000008bc
PC=00000638, ---
PC=0000063c, REG[15]=000008a8
PC=00000640, REG[15]=000008bc
PC=00000644, REG[15]=00000002
PC=00000648, REG[14]=00000003
PC=0000064c, ---
PC=00000624, REG[15]=000008a8
PC=00000628, REG[15]=000008bc
PC=0000062c, ---
PC=00000630, REG[15]=000008bc
PC=00000634, REG[15]=00000000
PC=00000638, ---
PC=00000650, REG[15]=000008bc
PC=00000654, REG[14]=00000000
PC=00000658, REG[15]=000008d0
PC=0000065c, ---
PC=00000660, REG[15]=000008bc
PC=00000664, REG[14]=000008d0
PC=00000668, ---
PC=0000066c, ---
PC=00000670, REG[ 1]=00000708
PC=00000674, REG[ 8]=00010000
PC=00000678, REG[ 2]=0000ffe0
PC=0000067c, ---
PC=00000708, REG[15]=0000ffec
PC=0000070c, REG[12]=00000000
PC=00000710, REG[11]=00000007
PC=00000714, REG[10]=0000ffec
PC=00000718, REG[ 1]=00000718
PC=0000071c, REG[ 1]=00000720
PC=000005b4, REG[ 2]=0000ffb0
PC=000005b8, ---
PC=000005bc, ---
PC=000005c0, REG[ 8]=0000ffe0
PC=000005c4, ---
PC=000005c8, ---
PC=000005cc, ---
PC=000005d0, REG[15]=0000ffec
PC=000005d4, REG[15]=000008a8
PC=000005d8, ---
PC=000005dc, REG[11]=00000000
PC=000005e0, REG[10]=00000007
PC=000005e4, REG[ 1]=000005e4
PC=000005e8, REG[ 1]=000005ec
PC=000004d4, REG[ 2]=0000ff80
PC=000004d8, ---
PC=000004dc, ---
PC=000004e0, REG[ 8]=0000ffb0
PC=000004e4, ---
PC=000004e8, ---
PC=000004ec, REG[10]=0000000c
PC=000004f0, REG[ 1]=000004f0
PC=000004f4, REG[ 1]=000004f8
PC=000002f0, REG[ 2]=0000ff50
PC=000002f4, ---
PC=000002f8, ---
PC=000002fc, REG[ 8]=0000ff80
PC=00000300, ---
PC=00000304, REG[14]=0000000c
PC=00000308, REG[15]=00004000
PC=0000030c, ---
PC=00000318, REG[15]=0000000c
PC=0000031c, REG[15]=00000000
PC=00000320, ---
PC=00000334, REG[15]=0000000c
PC=00000338, REG[15]=00000014
PC=0000033c, ---
PC=00000340, REG[15]=00005000
PC=00000344, REG[15]=000048a0
PC=00000348, ---
PC=0000034c, REG[15]=000048a0
PC=00000350, ---
PC=0000038c, REG[15]=000048a0
PC=00000390, REG[15]=000048a0
PC=00000394, ---
PC=00000398, REG[15]=000048a0
PC=0000039c, REG[15]=00000000
PC=000003a0, REG[14]=0000000c
PC=000003a4, ---
PC=00000428, REG[15]=00005000
PC=0000042c, REG[15]=000048a0
PC=00000430, REG[14]=000048a0
PC=00000434, ---
PC=00000438, REG[10]=00000014
PC=0000043c, REG[ 1]=0000043c
PC=00000440, REG[ 1]=00000444
PC=00000244, REG[ 2]=0000ff20
PC=00000248, ---
PC=0000024c, ---
PC=00000250, REG[ 8]=0000ff50
PC=00000254, ---
PC=00000258, REG[15]=00001000
PC=0000025c, REG[15]=00003fc4
PC=00000260, REG[14]=00000014
PC=00000264, ---
PC=00000270, REG[15]=00001000
PC=00000274, REG[15]=000008dc
PC=00000278, ---
PC=0000027c, REG[15]=00001000
PC=00000280, REG[14]=000008dc
PC=00000284, REG[15]=00000014
PC=00000288, REG[14]=000008f0
PC=0000028c, REG[15]=00001000
PC=00000290, ---
PC=00000294, REG[15]=00001000
PC=00000298, REG[14]=00003fc4
PC=0000029c, REG[15]=00000014
PC=000002a0, REG[14]=00003fb0
PC=000002a4, REG[15]=00001000
PC=000002a8, ---
PC=000002ac, REG[15]=00000014
PC=000002b0, REG[14]=0000000c
PC=000002b4, REG[15]=000008dc
PC=000002b8, ---
PC=000002bc, REG[15]=000008dc
PC=000002c0, REG[15]=000008e4
PC=000002c4, ---
PC=000002c8, REG[10]=000008e4
PC=000002cc, REG[ 1]=000002cc
PC=000002d0, REG[ 1]=000002d4
PC=000000b4, REG[ 2]=0000fef0
PC=000000b8, ---
PC=000000bc, ---
PC=000000c0, REG[ 8]=0000ff20
PC=000000c4, ---
PC=000000c8, REG[14]=000008e4
PC=000000cc, REG[15]=00001000
PC=000000d0, REG[15]=000008a0
PC=000000d4, ---
PC=000000d8, REG[15]=00005000
PC=000000dc, REG[15]=000048a0
PC=000000e0, REG[14]=000008e4
PC=000000e4, ---
PC=000000f4, REG[15]=000008e4
PC=000000f8, REG[15]=000008dc
PC=000000fc, ---
