PC=00000000, ---
PC=00000150, REG[ 3]=0000ea5f
PC=00000154, ---
PC=00000158, REG[ 1]=00000048
PC=0000015c, REG[ 2]=000000d8
PC=00000160, REG[ 6]=00000008
PC=00000164, REG[ 5]=00000001
PC=00000168, ---
PC=00000144, REG[ 3]=00000005
PC=00000148, REG[ 3]=0000c34b
PC=0000014c, REG[ 4]=00000006
PC=00000150, REG[ 3]=0000c351
PC=00000154, ---
PC=00000158, REG[ 1]=00000050
PC=0000015c, REG[ 2]=000000e0
PC=00000160, REG[ 6]=00000009
PC=00000164, REG[ 5]=00000001
PC=00000168, ---
PC=00000144, REG[ 3]=00000003
PC=00000148, REG[ 3]=0000752d
PC=0000014c, REG[ 4]=00000002
PC=00000150, REG[ 3]=0000752f
PC=00000154, ---
PC=00000158, REG[ 1]=00000058
PC=0000015c, REG[ 2]=000000e8
PC=00000160, REG[ 6]=0000000a
PC=00000164, REG[ 5]=00000001
PC=00000168, ---
PC=00000144, REG[ 3]=00000005
PC=00000148, REG[ 3]=0000c34b
PC=0000014c, REG[ 4]=00000003
PC=00000150, REG[ 3]=0000c34e
PC=00000154, ---
PC=00000158, REG[ 1]=00000060
PC=0000015c, REG[ 2]=000000f0
PC=00000160, REG[ 6]=0000000b
PC=00000164, REG[ 5]=00000001
PC=00000168, ---
PC=00000144, REG[ 3]=00000008
PC=00000148, REG[ 3]=00013878
PC=0000014c, REG[ 4]=00000007
PC=00000150, REG[ 3]=0001387f
PC=00000154, ---
PC=00000158, REG[ 1]=00000068
PC=0000015c, REG[ 2]=000000f8
PC=00000160, REG[ 6]=0000000c
PC=00000164, REG[ 5]=00000001
PC=00000168, ---
PC=00000144, REG[ 3]=00000009
PC=00000148, REG[ 3]=00015f87
PC=0000014c, REG[ 4]=00000003
PC=00000150, REG[ 3]=00015f8a
PC=00000154, ---
PC=00000158, REG[ 1]=00000070
PC=0000015c, REG[ 2]=00000100
PC=00000160, REG[ 6]=0000000d
PC=00000164, REG[ 5]=00000001
PC=00000168, ---
PC=00000144, REG[ 3]=00000007
PC=00000148, REG[ 3]=00011169
PC=0000014c, REG[ 4]=00000000
PC=00000150, REG[ 3]=00011169
PC=00000154, ---
PC=00000158, REG[ 1]=00000078
PC=0000015c, REG[ 2]=00000108
PC=00000160, REG[ 6]=0000000e
PC=00000164, REG[ 5]=00000001
PC=00000168, ---
PC=00000144, REG[ 3]=00000009
PC=00000148, REG[ 3]=00015f87
PC=0000014c, REG[ 4]=00000009
PC=00000150, REG[ 3]=00015f90
PC=00000154, ---
PC=00000158, REG[ 1]=00000080
PC=0000015c, REG[ 2]=00000110
PC=00000160, REG[ 6]=0000000f
PC=00000164, REG[ 5]=00000001
PC=00000168, ---
PC=00000144, REG[ 3]=00000003
PC=00000148, REG[ 3]=0000752d
PC=0000014c, REG[ 4]=00000005
PC=00000150, REG[ 3]=00007532
PC=00000154, ---
PC=00000158, REG[ 1]=00000088
PC=0000015c, REG[ 2]=00000118
PC=00000160, REG[ 6]=00000010
PC=00000164, REG[ 5]=00000001
PC=00000168, ---
PC=00000144, REG[ 3]=00000002
PC=00000148, REG[ 3]=00004e1e
PC=0000014c, REG[ 4]=00000000
PC=00000150, REG[ 3]=00004e1e
PC=00000154, ---
PC=00000158, REG[ 1]=00000090
PC=0000015c, REG[ 2]=00000120
PC=00000160, REG[ 6]=00000011
PC=00000164, REG[ 5]=00000001
PC=00000168, ---
PC=00000144, REG[ 3]=00000003
PC=00000148, REG[ 3]=0000752d
PC=0000014c, REG[ 4]=00000004
PC=00000150, REG[ 3]=00007531
PC=00000154, ---
PC=00000158, REG[ 1]=00000098
PC=0000015c, REG[ 2]=00000128
PC=00000160, REG[ 6]=00000012
PC=00000164, REG[ 5]=00000000
PC=00000168, ---
PC=0000016c, ---
